file,text,start_seconds,end_seconds,duration_seconds
01 - Empty Reload - quick.mp3,"Empty! Reload, quick.",0.0,2.2710000000000004,2.2710000000000004
02 - You're out don't just stand there.mp3,You're out~ don't just stand there.,2.301,5.192,2.891
03 - Click click that's not a gun sound.mp3,Click click... that's not a gun sound.,5.269,7.837000000000001,2.5680000000000005
04 - Aww come back to me.mp3,Aww... come back to me.,8.389,10.429,2.040000000000001
05 - I still like you. Mostly.mp3,I still like you. Mostly.,10.496,12.617,2.1210000000000004
06 - That one hurt to watch.mp3,That one hurt to watch.,12.699,14.751000000000001,2.0520000000000014
07 - Shake it off - you've got this.mp3,"Shake it off, you've got this.",14.781,16.838,2.0570000000000004
08 - Rude of them. Go get even.mp3,Rude of them. Go get even.,17.085,18.936999999999998,1.8519999999999968
09 - Bored Go find someone.mp3,Bored? Go find someone.,18.967,21.139,2.1720000000000006
10 - I'm still here - you know.mp3,"I'm still here, you know~",21.407,23.653,2.2459999999999987
11 - Are we playing - or admiring the menu.mp3,"Are we playing, or admiring the menu?",24.204,26.701,2.497
12 - Mm that one was clean.mp3,Mm~ that one was clean.,26.763,28.049,1.2859999999999978
13 - Another one down. Show-off.mp3,Another one down. Show-off.,28.275,30.555999999999997,2.280999999999999
14 - Nice shot. I saw that.mp3,Nice shot. I saw that.,30.586,31.698,1.1120000000000019
15 - You made that look easy.mp3,You made that look easy.,31.787,33.058,1.2710000000000008
16 - Was that for me How sweet.mp3,Was that for me? How sweet.,33.18,35.432,2.2520000000000024
17 - Ooh - right on target.mp3,"Ooh, right on target.",35.92,37.972,2.0519999999999996
18 - Keep going - I'm watching.mp3,"Keep going, I'm watching.",38.022,40.785,2.762999999999998
19 - Careful You're barely holding on.mp3,Careful! You're barely holding on.,40.815,42.596000000000004,1.781000000000006
20 - Back off and breathe for a second.mp3,Back off and breathe for a second.,42.696,45.621,2.9250000000000043
21 - Don't you dare die on me.mp3,Don't you dare die on me.,45.978,47.307,1.3290000000000006
22 - Low HP. Find cover - now.mp3,"Low HP. Find cover, now.",47.387,48.702,1.3149999999999977
23 - Hi again what are we tweaking.mp3,Hi again~ what are we tweaking?,48.764,51.175,2.4109999999999943
24 - Back to fiddle with me.mp3,Back to fiddle with me?,51.518,52.919,1.4009999999999962
25 - Missed me - did you.mp3,"Missed me, did you?",53.289,54.813,1.524000000000001
26 - He's one tap from done.mp3,He's one tap from done.,55.035,56.908,1.8730000000000047
27 - Finish him - he's nearly gone.mp3,"Finish him, he's nearly gone!",57.148,60.285,3.1369999999999933
28 - One more. Just one.mp3,One more. Just one~,60.315,61.493,1.1780000000000044
29 - Back already Missed me.mp3,Back already? Missed me?,62.239,64.16199999999999,1.9229999999999947
30 - Fresh start. Make it count.mp3,Fresh start. Make it count.,64.683,66.85199999999999,2.1689999999999827
31 - There you are.mp3,There you are~,67.452,68.378,0.9260000000000019
32 - Three in a row Careful - I'm impressed.mp3,"Three in a row? Careful, I'm impressed.",68.42,71.01599999999999,2.5959999999999894
33 - You're on fire out there.mp3,You're on fire out there~,71.048,72.583,1.5349999999999966
34 - Someone's showing off for me.mp3,Someone's showing off for me.,73.245,75.705,2.4599999999999937
35 - That's a streak. Don't get cocky.mp3,That's a streak. Don't get cocky.,75.735,77.86099999999999,2.1259999999999906
36 - Unstoppable. Obviously.mp3,Unstoppable. Obviously.,78.164,80.24,2.0759999999999934
37 - Found one. He's all yours.mp3,Found one. He's all yours.,80.27,81.824,1.554000000000002
38 - Target locked don't keep him waiting.mp3,Target locked~ don't keep him waiting.,82.27,85.695,3.424999999999997
39 - Ooh - there he is.mp3,"Ooh, there he is.",86.226,87.7975,1.5715000000000003
